"","Date","Construction","Education and Health Services","Financial Activities","Information","Leisure and Hospitality","Manufacturing","Natural Resources and Mining","Other Services","Professional and Business Services","Public Administration","Trade, Transportation and Utilities","Unclassified","Average","X1.Bedroom","X2.bedroom","Single.Family.Home","Condo.Townhome","Jobs","San.Jose","SJ.metro.area"
"1",2015-12-01,22886,82406,16574,11972,41518,55574,448,11181,72339,16374,69999,1923,"2,791","2,469","3,073","$825,000","$465,000",403194,4.2,3.9
"2",2015-11-01,23107,82894,16470,11932,41727,55463,618,11255,72558,16497,69479,1907,"2,786","2,449","3,062","$840,000","$560,000",403907,4.4,4.1
"3",2015-10-01,23804,83000,16500,11872,41911,55849,644,11285,72501,16756,67680,1798,"2,806","2,455","3,081","$850,000","$560,000",403600,4.5,4.1
"4",2015-09-01,23211,81226,16425,11800,41212,55260,668,11238,72079,16322,67386,1984,"2,836","2,475","3,101","$850,000","$455,000",398811,4.3,3.9
"5",2015-08-01,23325,76947,16546,11911,41012,55520,652,11419,72699,16244,67355,1888,"2,830","2,485","3,066","$850,000","$482,500",395518,4.6,4.2
"6",2015-07-01,22855,73706,16548,11818,41113,55734,670,11402,72602,16203,67094,1811,"2,826","2,479","3,058","$860,000","$545,000",391556,4.9,4.5
"7",2015-06-01,22310,81262,16366,11686,41367,56490,682,11269,71752,16354,66747,1546,"2,807","2,418","3,003","$865,000","$550,000",397831,4.6,4.2
"8",2015-05-01,22045,82752,16207,11507,41906,55815,664,11341,71562,16431,66406,1572,"2,712","2,379","2,910","$851,000","$530,500",398208,4.5,4.2
"9",2015-04-01,21708,82449,15988,11452,41209,55539,593,11126,71761,16277,66384,1480,"2,656","2,330","2,873","$845,000","$505,000",395966,4.5,4.1
"10",2015-03-01,21385,82168,16071,11314,40636,56180,502,10903,71312,16453,66799,1379,"2,628","2,306","2,880","$801,000","$490,000",395102,4.9,4.5
"11",2015-02-01,20957,81664,16161,11291,40414,56095,428,10762,70018,16392,67014,1417,"2,510","2,195","2,784","$772,500","$468,000",392613,5,4.6
"12",2015-01-01,20664,81021,16146,11216,38889,55937,446,10671,69433,16380,67898,1337,"2,525","2,188","2,778","$725,000","$482,360",390038,5.3,4.9
"13",2014-12-01,20402,81278,16342,10812,39702,55987,451,10501,69948,16545,68977,1878,"2,517","2,159","2,738","$760,003","$465,000",392823,4.8,4.4
"14",2014-11-01,20559,81487,16281,10750,39642,56121,609,10586,69415,16564,68044,1695,"2,515","2,146","2,726","$770,000","$470,000",391753,5.3,4.9
"15",2014-10-01,20586,81455,16215,10674,39666,56118,579,10621,69337,16683,66080,1612,"2,513","2,156","2,735","$782,000","$480,000",389626,5.4,4.9
"16",2014-09-01,20806,79861,16057,10733,39611,57022,568,10586,68325,16510,65577,870,"2,511","2,157","2,730","$746,250","$451,500",386526,5.4,4.9
"17",2014-08-01,20884,74715,16074,10856,39531,57672,594,10671,68173,16376,65876,861,"2,512","2,146","2,737","$780,000","$478,750",382283,5.9,5.4
"18",2014-07-01,20636,71174,16099,10804,39848,57679,602,10576,67776,16221,65844,753,"2,503","2,139","2,726","$750,000","$466,000",378012,6.2,5.6
"19",2014-06-01,20224,79546,16484,10702,39719,55662,610,10684,67642,16528,66138,687,"2,449","2,102","2,686","$795,400","$457,000",384626,5.7,5.2
"20",2014-05-01,19665,81141,16174,10517,40137,55230,600,10554,67024,16574,65605,649,"2,379","2,047","2,601","$782,000","$471,500",383870,5.6,5.1
"21",2014-04-01,19510,80956,15961,10599,39137,55173,522,10521,67427,16324,65569,553,"2,352","2,044","2,548","$776,500","$465,000",382252,5.5,5
"22",2014-03-01,19249,80410,15859,10598,38658,55062,547,10128,67359,16167,65254,1160,"2,296","1,997","2,499","$755,000","$460,000",380451,6.4,5.9
"23",2014-02-01,19165,80145,15766,10582,38539,55139,515,10074,67440,16123,65221,1141,"2,311","1,970","2,493","$700,000","$425,000",379850,6.4,5.9
"24",2014-01-01,18846,78973,15741,10522,37327,54988,472,9930,66531,16216,65572,1094,"2,289","1,962","2,450","$660,000","$420,000",376212,6.4,5.9
"25",2013-12-01,20709,79928,15992,10666,38728,54401,385,10091,67010,16660,68426,1238,"2,254","1,910","2,422","$685,000","$410,500",384234,6.1,5.6
"26",2013-11-01,20333,80190,16153,10622,38686,54625,504,10160,66593,16734,67669,1222,"2,179","1,843","2,341","$720,000","$410,000",383491,6.6,6
"27",2013-10-01,20233,79694,16129,10567,38104,54637,499,10205,65771,16682,65938,1155,"2,193","1,870","2,355","$689,500","$459,500",379614,6.9,6.3
"28",2013-09-01,20305,77907,15854,10685,38129,54266,549,10257,67437,16513,65307,610,"2,189","1,844","2,351","$695,000","$431,000",377819,6.9,6.3
"29",2013-08-01,20518,71497,16037,10797,37453,54348,561,10233,67769,16311,65506,672,"2,213","1,902","2,421","$710,000","$445,000",371702,7.2,6.6
"30",2013-07-01,20129,68954,16040,10802,38384,54355,583,10177,66706,16320,65254,675,"2,242","1,923","2,476","$725,000","$434,000",368379,7.6,6.9
"31",2013-06-01,19449,76932,16100,10874,38627,53365,447,10108,65462,16322,64933,879,"2,252","1,900","2,508","$732,500","$434,000",373498,7.5,6.8
"32",2013-05-01,19026,78226,16158,10814,38959,53044,452,10115,65130,16576,64262,952,"2,173","1,865","2,420","$739,500","$435,500",373714,7,6.4
"33",2013-04-01,18936,78022,15908,10831,37999,53029,443,9940,64927,16352,63970,948,"2,167","1,847","2,378","$705,000","$414,000",371305,7,6.4
"34",2013-03-01,18642,76785,15808,10827,36714,52607,403,9864,64882,16301,63988,811,"2,130","1,796","2,338","$655,000","$386,500",367632,7.6,7
"35",2013-02-01,18473,76537,15690,10801,36898,52490,420,9763,64237,16270,64312,866,"2,078","1,742","2,244","$625,000","$370,000",366757,7.8,7.2
"36",2013-01-01,18317,76051,15588,10747,36014,52504,432,9627,63460,16258,64533,858,"2,052","1,745","2,192","$613,500","$369,500",364389,8.3,7.6
"37",2012-12-01,18728,67516,16496,8309,35936,54416,408,18616,65811,16455,67330,1111,"2,006","1,723","2,126","$584,500","$352,000",371132,7.8,7.1
"38",2012-11-01,18774,67577,16657,8139,35888,54272,400,18583,64845,16639,65824,1146,"2,020","1,753","2,142","$582,625","$340,250",368744,8,7.3
"39",2012-10-01,18752,66896,16551,8096,36286,54293,489,18644,64389,16478,64127,1181,"2,055","1,792","2,177","$599,000","$325,000",366182,8.2,7.5
"40",2012-09-01,18722,64848,16378,7836,36280,53585,511,18574,62801,16343,64034,1141,"2,086","1,797","2,212","$570,000","$325,000",361053,8.2,7.4
"41",2012-08-01,18963,59115,16385,7832,35709,53954,460,18525,62904,16399,63929,1169,"2,132","1,832","2,285","$577,500","$335,500",355344,8.9,8.1
"42",2012-07-01,18799,56197,16511,7894,36285,53894,462,18570,62733,16297,63669,1189,"2,184","1,864","2,340","$575,888","$310,000",352500,9.3,8.5
"43",2012-06-01,18800,65402,16557,7624,35663,53716,440,17535,61747,16388,63554,1442,"2,101","1,813","2,211","$588,444","$300,000",358868,9.1,8.3
"44",2012-05-01,18495,66962,16250,7587,35694,53245,385,17497,61565,16452,62834,1480,"2,074","1,799","2,224","$545,000","$289,500",358446,8.7,8
"45",2012-04-01,17681,66736,16112,7554,35215,53098,390,17375,61791,16307,62641,1421,"2,029","1,758","2,181","$535,000","$280,000",356321,8.7,8
